Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Doctor Strange in the Multiverse of Madness,"$910,239,505","$388,633,292",42.7%,"$521,606,213",57.3%
2,The Batman,"$770,342,756","$369,342,756",47.9%,"$401,000,000",52.1%
3,Water Gate Bridge,"$626,571,280","$117,294",<0.1%,"$626,453,986",100%
4,Top Gun: Maverick,"$557,241,022","$295,641,022",53.1%,"$261,600,000",46.9%
5,Uncharted,"$401,108,106","$148,008,106",36.9%,"$253,100,000",63.1%
6,Fantastic Beasts: The Secrets of Dumbledore,"$400,784,813","$95,484,813",23.8%,"$305,300,000",76.2%
7,Sonic the Hedgehog 2,"$392,750,557","$188,250,557",47.9%,"$204,500,000",52.1%
8,The Bad Guys,"$218,140,025","$87,293,025",40%,"$130,847,000",60%
9,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%
10,Nice View,"$211,019,042",-,-,"$211,019,042",100%
11,The Lost City,"$185,199,201","$103,999,201",56.2%,"$81,200,000",43.8%
12,Morbius,"$163,629,054","$73,629,054",45%,"$90,000,000",55%
13,Scream,"$140,041,405","$81,641,405",58.3%,"$58,400,000",41.7%
14,Death on the Nile,"$137,301,929","$45,630,104",33.2%,"$91,671,825",66.8%
15,RRR,"$99,746,831","$11,113,000",11.1%,"$88,633,831",88.9%
16,K.G.F: Chapter 2,"$90,367,198","$2,874,000",3.2%,"$87,493,198",96.8%
17,Dog,"$81,738,903","$61,778,069",75.6%,"$19,960,834",24.4%
18,Jackass Forever,"$80,340,218","$57,743,451",71.9%,"$22,596,767",28.1%
19,Downton Abbey: A New Era,"$79,363,310","$35,898,310",45.2%,"$43,465,000",54.8%
20,Everything Everywhere All at Once,"$78,118,800","$60,561,935",77.5%,"$17,556,865",22.5%
21,The Northman,"$67,269,555","$34,059,555",50.6%,"$33,210,000",49.4%
22,Detective Conan: The Bride of Halloween,"$62,658,785",-,-,"$62,658,785",100%
23,Jurassic World: Dominion,"$55,723,000",-,-,"$55,723,000",100%
24,Ambulance,"$51,309,115","$22,309,115",43.5%,"$29,000,000",56.5%
25,Marry Me,"$50,509,649","$22,438,180",44.4%,"$28,071,469",55.6%
26,Moonfall,"$44,345,119","$19,060,660",43%,"$25,284,459",57%
27,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
28,The Roundup,"$29,819,300","$458,898",1.5%,"$29,360,402",98.5%
29,The Unbearable Weight of Massive Talent,"$28,382,389","$20,248,951",71.3%,"$8,133,438",28.7%
30,The 355,"$27,823,920","$14,570,455",52.4%,"$13,253,465",47.6%
31,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
